customer_id,recommended_product_ids,id,name,price,image
11000,871,871,Mountain Bottle Cage,"3,7363",/static/images/product24.jpg
11000,870,870,Water Bottle - 30 oz.,"1,8663",/static/images/product37.jpg
11000,930,930,HL Mountain Tire,"13,09",/static/images/product12.jpg
11000,921,921,Mountain Tire Tube,"1,8663",/static/images/product26.jpg
11000,929,929,ML Mountain Tire,"11,2163",/static/images/product21.jpg
11000,876,876,Hitch Rack - 4-Bike,"44,88",/static/images/product11.jpg
11000,934,934,Touring Tire,"10,8423",/static/images/product34.jpg
11000,873,873,Patch Kit/8 Patches,"0,8565",/static/images/product27.jpg
11001,876,876,Hitch Rack - 4-Bike,"44,88",/static/images/product11.jpg
11001,707,707,Sport-100 Helmet,"13,0863",/static/images/product32.jpg
11001,878,878,Fender Set - Mountain,"8,2205",/static/images/product6.jpg
11001,921,921,Mountain Tire Tube,"1,8663",/static/images/product26.jpg
11003,876,876,Hitch Rack - 4-Bike,"44,88",/static/images/product11.jpg
11003,870,870,Water Bottle - 30 oz.,"1,8663",/static/images/product37.jpg
11003,878,878,Fender Set - Mountain,"8,2205",/static/images/product6.jpg
11003,921,921,Mountain Tire Tube,"1,8663",/static/images/product26.jpg
11003,877,877,Bike Wash - Dissolver,"2,9733",/static/images/product3.jpg
11003,930,930,HL Mountain Tire,"13,09",/static/images/product12.jpg
11003,707,707,Sport-100 Helmet,"13,0863",/static/images/product32.jpg
11003,923,923,Touring Tire Tube,"1,8663",/static/images/product35.jpg
11004,871,871,Mountain Bottle Cage,"3,7363",/static/images/product24.jpg
11004,870,870,Water Bottle - 30 oz.,"1,8663",/static/images/product37.jpg
11004,930,930,HL Mountain Tire,"13,09",/static/images/product12.jpg
11004,921,921,Mountain Tire Tube,"1,8663",/static/images/product26.jpg
11004,929,929,ML Mountain Tire,"11,2163",/static/images/product21.jpg
11005,877,877,Bike Wash - Dissolver,"2,9733",/static/images/product3.jpg
11005,930,930,HL Mountain Tire,"13,09",/static/images/product12.jpg
11005,876,876,Hitch Rack - 4-Bike,"44,88",/static/images/product11.jpg
11005,707,707,Sport-100 Helmet,"13,0863",/static/images/product32.jpg
11005,929,929,ML Mountain Tire,"11,2163",/static/images/product21.jpg
11005,928,928,LL Mountain Tire,"9,3463",/static/images/product15.jpg
11006,871,871,Mountain Bottle Cage,"3,7363",/static/images/product24.jpg
11006,712,712,AWC Logo Cap,"6,9223",/static/images/product2.jpg
11006,707,707,Sport-100 Helmet,"13,0863",/static/images/product32.jpg
11007,876,876,Hitch Rack - 4-Bike,"44,88",/static/images/product11.jpg
11007,871,871,Mountain Bottle Cage,"3,7363",/static/images/product24.jpg
11007,870,870,Water Bottle - 30 oz.,"1,8663",/static/images/product37.jpg
11007,921,921,Mountain Tire Tube,"1,8663",/static/images/product26.jpg
11007,929,929,ML Mountain Tire,"11,2163",/static/images/product21.jpg
11007,873,873,Patch Kit/8 Patches,"0,8565",/static/images/product27.jpg
11008,712,712,AWC Logo Cap,"6,9223",/static/images/product2.jpg
11008,878,878,Fender Set - Mountain,"8,2205",/static/images/product6.jpg
11008,921,921,Mountain Tire Tube,"1,8663",/static/images/product26.jpg
11009,876,876,Hitch Rack - 4-Bike,"44,88",/static/images/product11.jpg
11012,876,876,Hitch Rack - 4-Bike,"44,88",/static/images/product11.jpg
11012,877,877,Bike Wash - Dissolver,"2,9733",/static/images/product3.jpg
11012,707,707,Sport-100 Helmet,"13,0863",/static/images/product32.jpg
11012,929,929,ML Mountain Tire,"11,2163",/static/images/product21.jpg
11012,928,928,LL Mountain Tire,"9,3463",/static/images/product15.jpg
11012,870,870,Water Bottle - 30 oz.,"1,8663",/static/images/product37.jpg
11013,876,876,Hitch Rack - 4-Bike,"44,88",/static/images/product11.jpg
11013,933,933,HL Road Tire,"12,1924",/static/images/product13.jpg
11013,932,932,ML Road Tire,"9,3463",/static/images/product22.jpg
11013,931,931,LL Road Tire,"8,0373",/static/images/product16.jpg
11013,873,873,Patch Kit/8 Patches,"0,8565",/static/images/product27.jpg
11013,921,921,Mountain Tire Tube,"1,8663",/static/images/product26.jpg
11013,870,870,Water Bottle - 30 oz.,"1,8663",/static/images/product37.jpg
11014,876,876,Hitch Rack - 4-Bike,"44,88",/static/images/product11.jpg
11014,852,852,Women's Tights,"30,9334",/static/images/product39.jpg
11014,929,929,ML Mountain Tire,"11,2163",/static/images/product21.jpg
11014,928,928,LL Mountain Tire,"9,3463",/static/images/product15.jpg
11014,873,873,Patch Kit/8 Patches,"0,8565",/static/images/product27.jpg
11014,870,870,Water Bottle - 30 oz.,"1,8663",/static/images/product37.jpg
11015,871,871,Mountain Bottle Cage,"3,7363",/static/images/product24.jpg
11015,870,870,Water Bottle - 30 oz.,"1,8663",/static/images/product37.jpg
11015,930,930,HL Mountain Tire,"13,09",/static/images/product12.jpg
11015,921,921,Mountain Tire Tube,"1,8663",/static/images/product26.jpg
11015,929,929,ML Mountain Tire,"11,2163",/static/images/product21.jpg
11016,921,921,Mountain Tire Tube,"1,8663",/static/images/product26.jpg
11016,873,873,Patch Kit/8 Patches,"0,8565",/static/images/product27.jpg
